PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=195 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=188 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=190 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=212 ms
