PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=1020 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=1137 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=1254 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=1374 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=1462 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=1547 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=1536 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=1518 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1526 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1501 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1519 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1525 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1485 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1433 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1384 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1313 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=1270 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=1219 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=1175 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=1116 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=1055 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=894 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=797 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=808 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=815 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=808 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=799 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=790 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=633 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=533 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=430 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=475 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=571 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=671 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=835 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=924 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=993 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=1030 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=1086 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=1049 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=958 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=861 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=668 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=776 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=779 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=776 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=740 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=686 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=645 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=597 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=541 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=495 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=442 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=405 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 82 received, 18% packet loss, time 10236ms
rtt min/avg/max/mdev = 405.010/907.489/1547.929/301.097 ms, pipe 15
